topic,time,word,prob
0,0,c0153114,0.00013092998868384175
0,0,c0478144,2.2805852451965159e-05
0,0,c0036529,4.7209034181486493e-05
0,0,c0478056,0.09289250609196946
0,0,c0260683,5.4576870270717694e-05
0,0,c0260682,4.9077856562547763e-05
0,0,c0699815,7.9345735312413057e-05
0,0,c0036440,2.3117769726631174e-05
0,0,c0029557,5.6791734319929365e-05
0,0,c0375378,2.4575648235096461e-05
0,0,c0375531,0.0054364028701739918
0,0,c0375770,2.0855061416832767e-05
0,0,c0029551,0.0059170006268306798
0,0,c0029625,6.7953576488865872e-05
0,0,c0014868,8.4538125032738865e-05
0,0,c0158350,4.1639348986869933e-05
0,0,c0302467,2.085735592386064e-05
0,0,c0949168,9.5989889887164315e-05
0,0,c0041667,2.6658673228439865e-05
0,0,c0010380,0.029320550336127803
0,0,c0154632,2.2198204175791745e-05
0,0,c0042023,2.0869691206486344e-05
0,0,c0154446,4.5840463783525576e-05
0,0,c0392702,3.7514929076413608e-05
0,0,c3161331,4.7642482913317064e-05
0,0,c0154634,0.0071073004244250285
0,0,c0795699,2.0855525267265457e-05
0,0,c0920296,2.0854976575099905e-05
0,0,c0011168,6.415434213234605e-05
0,0,c0003811,5.7075375601383673e-05
0,0,c0037785,2.0854575110316758e-05
0,0,c0375765,3.3056756178325871e-05
0,0,c0017168,4.8250848042633716e-05
0,0,c0375766,3.4457557746077194e-05
0,0,c0026758,0.0064673497984280666
0,0,c0158361,2.2519592727218075e-05
0,0,c2607914,4.1330271039081023e-05
0,0,c0375807,0.0047314575906780175
0,0,c0375218,2.4038162645878095e-05
0,0,c0030196,2.34941313495533e-05
0,0,c0340629,6.3714521570392785e-05
0,0,c0221539,2.3119281524431649e-05
0,0,c0009592,2.2873847864297162e-05
0,0,c0042798,4.554340062593467e-05
0,0,c0158712,2.3230193083332684e-05
0,0,c0007194,2.3371312324511892e-05
0,0,c0014116,2.460133428562093e-05
0,0,c0878732,2.0854862195694906e-05
0,0,c1879328,0.0024256030888726555
0,0,c0153987,0.0042571610368948559
0,0,c0497552,4.9530147594816125e-05
0,0,c0264222,0.0001507436586684352
0,0,c0027498,3.8881994448225165e-05
0,0,c0728950,0.0001239767537626067
0,0,c0155336,4.1449122692279617e-05
0,0,c0152212,0.018519718658170609
0,0,c0264133,2.085851946865003e-05
0,0,c0029781,0.018544891627783628
0,0,c0260334,5.0422293614891107e-05
0,0,c0520966,0.00046243854052818723
0,0,c0015544,3.2864669306294201e-05
0,0,c1456302,2.631162138277461e-05
0,0,c0015310,7.681868894662945e-05
0,0,c0025517,3.0435226613969935e-05
0,0,c0432068,6.208211190012772e-05
0,0,c0020295,0.070988927497685941
0,0,c0038436,7.6260825204510737e-06
0,0,c0010520,8.0928556606719748e-05
0,0,c0260363,7.6260825204510737e-06
0,0,c0155886,8.6720853342128266e-05
0,0,c0029608,2.6805848512049267e-05
0,0,c0010200,0.025622951612920195
0,0,c1691215,2.8320790489958024e-05
0,0,c0018777,7.7044150459105423e-05
0,0,c1962940,2.8507752877992371e-05
0,0,c0496621,2.0854753088436549e-05
0,0,c0156109,8.1912772469370504e-05
0,0,c3161328,7.6260825204510737e-06
0,0,c0260872,9.5733250412097619e-05
0,0,c0008626,7.9674273241514982e-05
0,0,c0158489,2.6795582298656264e-05
0,0,c0260877,9.1893760925701662e-05
0,0,c0011334,2.1565525070673404e-05
0,0,c0695252,2.4500605010460492e-05
0,0,c0478100,2.4136747476041038e-05
0,0,c0159107,0.00016844112901477393
0,0,c0949135,4.0583591385288539e-05
0,0,c0154722,2.5028060236049345e-05
0,0,c0155831,7.6260825204510737e-06
0,0,c0041806,0.001942184437005333
0,0,c0029837,0.00043572521903664416
0,0,c0154695,4.19292411880303e-05
0,0,c0040188,2.1693053561498699e-05
0,0,c1306246,2.7183825794886106e-05
0,0,c0011991,7.2343324132874588e-05
0,0,c0028738,0.049655868823261388
0,0,c0490048,0.10883986366366395
0,0,c0085584,2.7699390890703026e-05
0,0,c0038273,7.6260825204510737e-06
0,0,c0260390,2.8224768915052753e-05
0,0,c0029753,2.2347865973075317e-05
0,0,c0260394,4.1098394608257656e-05
0,0,c0019570,4.7899072195928065e-05
0,0,c0158621,2.4794916496684422e-05
0,0,c0025958,8.6595461415588253e-05
0,0,c0375546,7.9856787846679106e-05
0,0,c0546884,8.3202688448584552e-05
0,0,c0575081,0.0027306126103534725
0,0,c0375193,7.6260825204510737e-06
0,0,c0008711,0.0016176870921823458
0,0,c0311335,2.4910060534882046e-05
0,0,c0868777,2.3756241282485542e-05
0,0,c0700613,7.6260825204510737e-06
0,0,c0154707,2.1846829475249971e-05
0,0,c0481850,0.04677792882739893
0,0,c0154709,2.8840153613800196e-05
0,0,c0746674,3.0814076940909935e-05
0,0,c0029512,0.00014097058073991731
0,0,c0154246,2.550393737962739e-05
0,0,c1279224,0.00010054041926414444
0,0,c0260545,9.8392720638522139e-05
0,0,c0009806,0.00010746106027865149
0,0,c0260761,2.6894198735643516e-05
0,0,c0003537,7.6260825204510737e-06
0,0,c0260760,2.5695292431157089e-05
0,0,c0158897,6.3634013139071449e-05
0,0,c1263846,2.2611695834544512e-05
0,0,c0011757,7.1372844301480326e-05
0,0,c0027765,3.0913900856009236e-05
0,0,c0039685,2.8505181719058233e-05
0,0,c0477458,8.1018730968798351e-05
0,0,c0037317,0.004945503357647851
0,0,c0000908,7.6260825204510737e-06
0,0,c0154713,2.301463761001038e-05
0,0,c0155546,5.1579895302211242e-05
0,0,c0375530,0.064370405557623953
0,0,c0271468,4.8943746653910617e-05
0,0,c0159020,5.0096632057966285e-05
0,0,c0878706,8.7364103956534189e-05
0,0,c0677491,7.6260825204510737e-06
0,0,c0159028,3.8431507541660262e-05
0,0,c0022661,2.2164554980923878e-05
0,0,c0155427,4.7817778089063957e-05
0,0,c0154710,2.4466048877458564e-05
0,0,c0155422,5.1317929688565983e-05
0,0,c0154716,2.5616428269202023e-05
0,0,c0154715,2.9525116299350321e-05
0,0,c0154714,2.4417386168838697e-05
0,0,c0478550,2.0854835347109983e-05
0,0,c0302371,4.0230719497610348e-05
0,0,c0478000,2.4103343410413898e-05
0,0,c0007570,2.1003898516345876e-05
0,0,c0302412,4.2230564461937255e-05
0,0,c0395861,0.0097437124325588653
0,0,c0015222,0.012517365837400046
0,0,c0424605,0.00013531549974747474
0,0,c0009951,3.2240392969083851e-05
0,0,c0411175,4.7300251440554851e-05
0,0,c0020490,0.025217485748403819
0,0,c0026265,2.4743655383211619e-05
0,0,c2910943,2.3090920690008849e-05
0,0,c0158618,2.9080877352969476e-05
0,0,c0158619,5.2551110800892697e-05
0,0,c0311394,2.1652428597404067e-05
0,0,c0018812,2.3651920464083752e-05
0,0,c0029581,3.2410482590107351e-05
0,0,c0158617,2.7826856352169783e-05
0,0,c0159036,4.299003381057258e-05
0,0,c0478095,0.00013829164172833756
0,0,c0260840,0.05721726486084143
0,0,c0041970,2.1651698281287051e-05
0,0,c0159135,3.1002001262146311e-05
0,0,c1719382,7.6260825204510737e-06
0,0,c0375871,4.7776732307610756e-05
0,0,c0750903,4.7308755125282861e-05
0,0,c1971612,5.3577098298977965e-05
0,0,c0152417,2.4277341760173792e-05
0,0,c0496634,2.2518585491993386e-05
0,0,c0029866,0.0107541930671196
0,0,c0154721,4.8522980637767848e-05
0,0,c0270805,2.2853817810973367e-05
0,0,c0009081,2.6467299676003531e-05
0,0,c1456326,7.6260825204510737e-06
0,0,c1456327,7.6260825204510737e-06
0,0,c0013415,7.6260825204510737e-06
0,0,c0261579,2.263057230032617e-05
0,0,c0348719,7.6260825204510737e-06
0,0,c0029806,4.3560457610249095e-05
0,0,c1456428,2.2183375824893844e-05
0,0,c0236826,2.5465419563221243e-05
0,0,c1455977,7.6260825204510737e-06
0,0,c0013080,3.0501503685184291e-05
0,0,c0392549,4.9631307309720172e-05
0,0,c0877845,2.4369782072311896e-05
0,0,c0029882,0.00013862193549656871
0,0,c0159047,4.2370935604046578e-05
0,0,c0375026,2.8681385603508043e-05
0,0,c1135241,2.4553186887899091e-05
0,0,c0478145,7.6260825204510737e-06
0,0,c0344304,4.3966137574953978e-05
0,0,c2939192,6.0205704763814186e-05
0,0,c0159099,2.4192394173935176e-05
0,0,c0490011,3.306920775441637e-05
0,0,c0079157,9.926143915147984e-05
0,0,c0149825,0.0020158023315322076
0,0,c0154633,4.2418171814320569e-05
0,0,c0000737,0.00011870662157364155
0,0,c0154635,8.3157769269132895e-05
0,0,c0375895,0.018547824213452063
0,0,c0021092,6.6727790278603408e-05
0,0,c1455742,4.5400145085704016e-05
0,0,c0158352,8.1122419460948628e-05
0,0,c1456434,7.6260825204510737e-06
0,0,c0036689,2.2933352938520015e-05
0,0,c0021051,4.0280631078351862e-05
0,0,c0338982,0.00041503445949309765
0,0,c0029652,7.6260825204510737e-06
0,0,c0010417,2.7535766624118377e-05
0,0,c0154697,6.8995164950523685e-05
0,0,c0154694,7.6260825204510737e-06
0,0,c1384666,0.00020125365817680571
0,0,c0869240,7.6260825204510737e-06
0,0,c0348773,2.1144570006483751e-05
0,0,c0018939,3.095394027573815e-05
0,0,c0878691,7.6260825204510737e-06
0,0,c0014877,0.04545758082680515
0,0,c0878753,0.097041155626704678
0,0,c0024796,2.2943882449024725e-05
0,0,c1301937,2.6911223541720454e-05
0,0,c0040517,7.6260825204510737e-06
0,0,c0260823,6.7007531448507696e-05
0,0,c0019693,2.4447055528896255e-05
0,0,c0476555,2.9861613203630645e-05
0,0,c0029488,7.6260825204510737e-06
0,0,c0840927,2.2913974567192997e-05
0,0,c2349675,0.13102520556763883
0,0,c0154623,2.5426899768474114e-05
0,0,c0018818,5.222801306590881e-05
0,0,c0154451,4.3502221017451565e-05
0,0,c0007235,5.8206112977516317e-05
0,0,c0154453,3.9033998888977409e-05
0,0,c1260452,3.5975060618797132e-05
0,0,c0004106,0.0071143605761552564
0,0,c0004352,7.6260825204510737e-06
0,0,c0013274,5.7313026043625452e-05
0,0,c1260454,4.076342921065112e-05
1,0,c0153114,7.3775794274115897e-05
1,0,c0478144,1.2772887444350147e-05
1,0,c0036529,2.6440104779576096e-05
1,0,c0478056,1.6709520461326132e-05
1,0,c0260683,3.056517202447541e-05
1,0,c0260682,2.7487115773559836e-05
1,0,c0699815,0.0014589815652288609
1,0,c0036440,1.2947578059845996e-05
1,0,c0029557,3.1828431131572345e-05
1,0,c0375378,0.0043717870802601113
1,0,c0375531,2.4561033446367723e-05
1,0,c0375770,1.1680306741110639e-05
1,0,c0029551,0.01521623793894521
1,0,c0029625,3.7792488289603277e-05
1,0,c0014868,3.6848780959107357e-05
1,0,c0158350,0.0014579725755349113
1,0,c0302467,1.1681591827130494e-05
1,0,c0949168,5.3271351763729255e-05
1,0,c0041667,1.493073308033902e-05
1,0,c0010380,2.7390736729418191e-05
1,0,c0154632,1.243256149117e-05
1,0,c0042023,0.00023245582565365881
1,0,c0154446,0.0049462549258066429
1,0,c0392702,0.0087045240447648532
1,0,c3161331,2.6926597427285752e-05
1,0,c0154634,0.01811781923679499
1,0,c0795699,1.1680566529574658e-05
1,0,c0920296,1.1680259223769999e-05
1,0,c0011168,0.0056275835562284368
1,0,c0003811,3.1919176538705567e-05
1,0,c0037785,1.1680034375133413e-05
1,0,c0375765,1.8514112749547653e-05
1,0,c0017168,3.1925730268679637e-05
1,0,c0375766,1.9298676134967029e-05
1,0,c0026758,0.0050521768971444909
1,0,c0158361,1.2612561807362137e-05
1,0,c2607914,2.3147867463504295e-05
1,0,c0375807,3.628113098604675e-05
1,0,c0375218,0.0032676495374152127
1,0,c0030196,1.3158372199530072e-05
1,0,c0340629,3.5689943901126968e-05
1,0,c0221539,0.00089601770589196644
1,0,c0009592,0.00089588024983574199
1,0,c0042798,0.0041018130200766592
1,0,c0158712,1.3010544534499498e-05
1,0,c0007194,1.3089584893617871e-05
1,0,c0014116,1.3778484030480472e-05
1,0,c0878732,1.1680195163226043e-05
1,0,c1879328,2.375876539490834e-05
1,0,c0153987,1.3193555134722881e-05
1,0,c0497552,0.015681203734138463
1,0,c0264222,8.5595563804664884e-05
1,0,c0027498,2.1754885868242089e-05
1,0,c0728950,0.0011667921079271304
1,0,c0155336,2.3214604929375823e-05
1,0,c0152212,0.0074161089793234715
1,0,c0264133,1.1682243494470906e-05
1,0,c0029781,2.1908546279024526e-05
1,0,c0260334,2.8242259513842986e-05
1,0,c0520966,0.046790567249373319
1,0,c0015544,1.8421577863625259e-05
1,0,c1456302,0.0013393180904761343
1,0,c0015310,0.0070670494557689405
1,0,c0025517,1.7045866564384435e-05
1,0,c0432068,0.0055531209747412555
1,0,c0020295,1.7664204821110165e-05
1,0,c0038436,4.2711446056906152e-06
1,0,c0010520,4.5370254355601022e-05
1,0,c0260363,4.2711446056906152e-06
1,0,c0155886,4.8568559536489367e-05
1,0,c0029608,1.5013167563735663e-05
1,0,c0010200,0.00060419462432663624
1,0,c1691215,1.5861713947578096e-05
1,0,c0018777,4.3132067104687244e-05
1,0,c1962940,1.596635069787076e-05
1,0,c0496621,1.1680134055405252e-05
1,0,c0156109,0.0012316037725667471
1,0,c3161328,4.2711446056906152e-06
1,0,c0260872,0.001586106470374646
1,0,c0008626,4.469015585769625e-05
1,0,c0158489,1.5007404716098403e-05
1,0,c0260877,0.027497892142239938
1,0,c0011334,1.2078216545252899e-05
1,0,c0695252,1.3722130665710233e-05
1,0,c0478100,1.3518282614168668e-05
1,0,c0159107,0.0037945939473005229
1,0,c0949135,2.272969563772974e-05
1,0,c0154722,0.0050343424720707772
1,0,c0155831,4.2711446056906152e-06
1,0,c0041806,1.2585472447506476e-05
1,0,c0029837,2.3269881236546334e-05
1,0,c0154695,2.3483457576229882e-05
1,0,c0040188,1.2149641502928005e-05
1,0,c1306246,0.015403086524247331
1,0,c0011991,4.0522390755686403e-05
1,0,c0028738,2.0466306415715169e-05
1,0,c0490048,2.5991412356415831e-05
1,0,c0085584,0.0081265763874943248
1,0,c0038273,4.2711446056906152e-06
1,0,c0260390,1.5807859439601615e-05
1,0,c0029753,1.2516382683062531e-05
1,0,c0260394,2.301803305912049e-05
1,0,c0019570,2.6826796128577515e-05
1,0,c0158621,1.3886909121485701e-05
1,0,c0025958,0.015735208348316161
1,0,c0375546,4.469584798980225e-05
1,0,c0546884,4.7524700290200836e-05
1,0,c0575081,1.262626010668956e-05
1,0,c0375193,4.2711446056906152e-06
1,0,c0008711,2.2951417781395322e-05
1,0,c0311335,0.0074053936382553389
1,0,c0868777,0.0019715493823671045
1,0,c0700613,4.2711446056906152e-06
1,0,c0154707,1.223587198010606e-05
1,0,c0481850,0.011797300566112862
1,0,c0154709,0.026405186760544104
1,0,c0746674,0.044454931384700587
1,0,c0029512,8.0422803364987757e-05
1,0,c0154246,1.4284009918195008e-05
1,0,c1279224,5.6325211552839788e-05
1,0,c0260545,5.5087495970857797e-05
1,0,c0009806,6.0154030420617631e-05
1,0,c0260761,1.5062575801990085e-05
1,0,c0003537,4.2711446056906152e-06
1,0,c0260760,1.4391177139055868e-05
1,0,c0158897,3.563769091234418e-05
1,0,c1263846,1.2664146032080106e-05
1,0,c0011757,0.020244650672224383
1,0,c0027765,1.7228247558144985e-05
1,0,c0039685,1.5964884287220863e-05
1,0,c0477458,0.0032460941526982431
1,0,c0037317,3.7640385052635093e-05
1,0,c0000908,4.2711446056906152e-06
1,0,c0154713,0.0011167264402038258
1,0,c0155546,2.8871981204412356e-05
1,0,c0375530,1.50175852220722e-05
1,0,c0271468,2.7406287395628368e-05
1,0,c0159020,0.037167614871738176
1,0,c0878706,0.0363304332852332
1,0,c0677491,4.2711446056906152e-06
1,0,c0159028,2.1250647711653353e-05
1,0,c0022661,1.2413715586095775e-05
1,0,c0155427,2.6780720813056241e-05
1,0,c0154710,1.3702717349958078e-05
1,0,c0155422,2.8737680674760005e-05
1,0,c0154716,0.0057256353961289332
1,0,c0154715,0.052112175672952198
1,0,c0154714,0.0037093965684201467
1,0,c0478550,1.1680180126093579e-05
1,0,c0302371,0.0011205474808612032
1,0,c0478000,1.3499578812411236e-05
1,0,c0007570,1.1763666024597978e-05
1,0,c0302412,2.3651877426969105e-05
1,0,c0395861,4.6707469453850351e-05
1,0,c0015222,2.8558351166271423e-05
1,0,c0424605,0.02846776476750448
1,0,c0009951,1.8120123785067621e-05
1,0,c0411175,0.0041635971924463564
1,0,c0020490,0.0024398302958157318
1,0,c0026265,1.3858187432014413e-05
1,0,c2910943,1.2932545926526369e-05
1,0,c0158618,1.6287290741676809e-05
1,0,c0158619,2.9432043621596659e-05
1,0,c0311394,0.00086653449341265922
1,0,c0018812,1.3246745262974148e-05
1,0,c0029581,1.8016881352013325e-05
